max_player_depth;min_player_depth;avg_time;won;lost;draw;total_st_max_pl;total_st_min_pl;if_ab_cut_max_pl;if_ab_cut_min_pl
0;0;0.002129077911376953;0;1;0;3;3;True;True
0;0;0.0037610530853271484;0;1;0;3;3;True;False
0;0;0.004172325134277344;0;1;0;3;3;False;True
0;0;0.0027964115142822266;0;1;0;3;3;False;False
0;1;0.00505375862121582;0;1;0;3;21;True;True
0;1;0.005834102630615234;0;1;0;3;21;True;False
0;1;0.007920026779174805;0;1;0;3;21;False;True
0;1;0.0037603378295898438;0;1;0;3;21;False;False
0;2;0.006289005279541016;0;1;0;3;21;True;True
0;2;0.005720376968383789;0;1;0;3;21;True;False
0;2;0.004116535186767578;0;1;0;3;21;False;True
0;2;0.005852222442626953;0;1;0;3;21;False;False
0;3;0.0054302215576171875;0;1;0;3;21;True;True
0;3;0.004616260528564453;0;1;0;3;21;True;False
0;3;0.005838632583618164;0;1;0;3;21;False;True
0;3;0.0054628849029541016;0;1;0;3;21;False;False
0;4;0.005013465881347656;0;1;0;3;21;True;True
0;4;0.005810737609863281;0;1;0;3;21;True;False
0;4;0.004801273345947266;0;1;0;3;21;False;True
0;4;0.004885673522949219;0;1;0;3;21;False;False
0;5;0.005048513412475586;0;1;0;3;21;True;True
0;5;0.005342006683349609;0;1;0;3;21;True;False
0;5;0.005457878112792969;0;1;0;3;21;False;True
0;5;0.00466465950012207;0;1;0;3;21;False;False
0;6;0.005698680877685547;0;1;0;3;21;True;True
0;6;0.005866527557373047;0;1;0;3;21;True;False
0;6;0.004412174224853516;0;1;0;3;21;False;True
0;6;0.005417585372924805;0;1;0;3;21;False;False
0;7;0.005016326904296875;0;1;0;3;21;True;True
0;7;0.004658699035644531;0;1;0;3;21;True;False
0;7;0.005482912063598633;0;1;0;3;21;False;True
0;7;0.005088329315185547;0;1;0;3;21;False;False
0;8;0.0043294429779052734;0;1;0;3;21;True;True
0;8;0.005148887634277344;0;1;0;3;21;True;False
0;8;0.004755258560180664;0;1;0;3;21;False;True
0;8;0.004914760589599609;0;1;0;3;21;False;False
0;9;0.0034673213958740234;0;1;0;3;21;True;True
0;9;0.005120277404785156;0;1;0;3;21;True;False
0;9;0.004807233810424805;0;1;0;3;21;False;True
0;9;0.005368709564208984;0;1;0;3;21;False;False
1;0;0.007035970687866211;1;0;0;28;3;True;True
1;0;0.006546735763549805;1;0;0;28;3;True;False
1;0;0.0053250789642333984;1;0;0;28;3;False;True
1;0;0.00706934928894043;1;0;0;28;3;False;False
1;1;0.022803306579589844;0;1;0;121;90;True;True
1;1;0.03410792350769043;0;1;0;168;123;True;False
1;1;0.033158302307128906;0;1;0;168;123;False;True
1;1;0.03293871879577637;0;1;0;168;123;False;False
1;2;0.03818988800048828;0;1;0;121;280;True;True
1;2;0.06839442253112793;0;1;0;168;583;True;False
1;2;0.06793022155761719;0;1;0;168;583;False;True
1;2;0.06788015365600586;0;1;0;168;583;False;False
1;3;0.03653907775878906;0;1;0;121;280;True;True
1;3;0.0697474479675293;0;1;0;168;583;True;False
1;3;0.07388615608215332;0;1;0;168;583;False;True
1;3;0.10084795951843262;0;1;0;168;583;False;False
1;4;0.07799506187438965;0;1;0;121;280;True;True
1;4;0.09852147102355957;0;1;0;168;583;True;False
1;4;0.07287406921386719;0;1;0;168;583;False;True
1;4;0.06780099868774414;0;1;0;168;583;False;False
1;5;0.03656315803527832;0;1;0;121;280;True;True
1;5;0.06818413734436035;0;1;0;168;583;True;False
1;5;0.06804180145263672;0;1;0;168;583;False;True
1;5;0.07804274559020996;0;1;0;168;583;False;False
1;6;0.05206155776977539;0;1;0;121;280;True;True
1;6;0.06735467910766602;0;1;0;168;583;True;False
1;6;0.06557464599609375;0;1;0;168;583;False;True
1;6;0.06420493125915527;0;1;0;168;583;False;False
1;7;0.033262014389038086;0;1;0;121;280;True;True
1;7;0.0652012825012207;0;1;0;168;583;True;False
1;7;0.06440091133117676;0;1;0;168;583;False;True
1;7;0.06281590461730957;0;1;0;168;583;False;False
1;8;0.035710811614990234;0;1;0;121;280;True;True
1;8;0.0699007511138916;0;1;0;168;583;True;False
1;8;0.08255314826965332;0;1;0;168;583;False;True
1;8;0.06603670120239258;0;1;0;168;583;False;False
1;9;0.030575275421142578;0;1;0;121;280;True;True
1;9;0.062448740005493164;0;1;0;168;583;True;False
1;9;0.06355786323547363;0;1;0;168;583;False;True
1;9;0.0628669261932373;0;1;0;168;583;False;False
2;0;0.004647731781005859;1;0;0;28;3;True;True
2;0;0.004373311996459961;1;0;0;28;3;True;False
2;0;0.004251003265380859;1;0;0;28;3;False;True
2;0;0.004282236099243164;1;0;0;28;3;False;False
2;1;0.04945063591003418;0;0;1;492;92;True;True
2;1;0.09889698028564453;0;0;1;950;124;True;False
2;1;0.10100769996643066;0;0;1;950;124;False;True
2;1;0.10188031196594238;0;0;1;950;124;False;False
2;2;0.17685365676879883;0;0;1;1728;921;True;True
2;2;0.528892993927002;0;0;1;4842;2556;True;False
2;2;0.5330960750579834;0;0;1;4842;2556;False;True
2;2;0.5508217811584473;0;0;1;4842;2556;False;False
2;3;0.2085261344909668;0;0;1;1728;1980;True;True
2;3;0.8119053840637207;0;0;1;4842;8964;True;False
2;3;0.8641324043273926;0;0;1;4842;8964;False;True
2;3;0.8186137676239014;0;0;1;4842;8964;False;False
2;4;0.20414233207702637;0;0;1;1728;1980;True;True
2;4;0.806896448135376;0;0;1;4842;8964;True;False
2;4;0.9256377220153809;0;0;1;4842;8964;False;True
2;4;0.8296153545379639;0;0;1;4842;8964;False;False
2;5;0.22017145156860352;0;0;1;1728;1980;True;True
2;5;0.9388020038604736;0;0;1;4842;8964;True;False
2;5;0.8237714767456055;0;0;1;4842;8964;False;True
2;5;0.8305714130401611;0;0;1;4842;8964;False;False
2;6;0.20434236526489258;0;0;1;1728;1980;True;True
2;6;0.7873339653015137;0;0;1;4842;8964;True;False
2;6;0.8173246383666992;0;0;1;4842;8964;False;True
2;6;0.7830557823181152;0;0;1;4842;8964;False;False
2;7;0.20016884803771973;0;0;1;1728;1980;True;True
2;7;0.8125417232513428;0;0;1;4842;8964;True;False
2;7;0.8169469833374023;0;0;1;4842;8964;False;True
2;7;0.7835867404937744;0;0;1;4842;8964;False;False
2;8;0.20087814331054688;0;0;1;1728;1980;True;True
2;8;0.8138952255249023;0;0;1;4842;8964;True;False
2;8;0.8150696754455566;0;0;1;4842;8964;False;True
2;8;0.8144707679748535;0;0;1;4842;8964;False;False
2;9;0.23621225357055664;0;0;1;1728;1980;True;True
2;9;0.8031244277954102;0;0;1;4842;8964;True;False
2;9;0.8020939826965332;0;0;1;4842;8964;False;True
2;9;0.8067967891693115;0;0;1;4842;8964;False;False
3;0;0.005151033401489258;1;0;0;28;3;True;True
3;0;0.004283905029296875;1;0;0;28;3;True;False
3;0;0.004557609558105469;1;0;0;28;3;False;True
3;0;0.005031585693359375;1;0;0;28;3;False;False
3;1;0.050664663314819336;0;0;1;492;92;True;True
3;1;0.10021424293518066;0;0;1;950;124;True;False
3;1;0.09877228736877441;0;0;1;950;124;False;True
3;1;0.09879541397094727;0;0;1;950;124;False;False
3;2;0.3732724189758301;0;0;1;5520;921;True;True
3;2;1.5973601341247559;0;0;1;22114;2556;True;False
3;2;1.642080307006836;0;0;1;22114;2556;False;True
3;2;1.606957197189331;0;0;1;22114;2556;False;False
3;3;0.8575084209442139;0;0;1;13888;4182;True;True
3;3;5.12227463722229;0;0;1;80578;25992;True;False
3;3;5.161298513412476;0;0;1;80578;25992;False;True
3;3;4.89840841293335;0;0;1;80578;25992;False;False
3;4;0.8000845909118652;0;0;1;13888;6558;True;True
3;4;5.252858877182007;0;0;1;80578;48744;True;False
3;4;5.3508992195129395;0;0;1;80578;48744;False;True
3;4;5.268410921096802;0;0;1;80578;48744;False;False
3;5;0.8075618743896484;0;0;1;13888;6558;True;True
3;5;5.2784035205841064;0;0;1;80578;48744;True;False
3;5;5.333559036254883;0;0;1;80578;48744;False;True
3;5;5.236645460128784;0;0;1;80578;48744;False;False
3;6;0.784294605255127;0;0;1;13888;6558;True;True
3;6;5.275832414627075;0;0;1;80578;48744;True;False
3;6;5.352505445480347;0;0;1;80578;48744;False;True
3;6;5.255013465881348;0;0;1;80578;48744;False;False
3;7;0.7992663383483887;0;0;1;13888;6558;True;True
3;7;5.31049656867981;0;0;1;80578;48744;True;False
3;7;5.261711120605469;0;0;1;80578;48744;False;True
3;7;5.218963384628296;0;0;1;80578;48744;False;False
3;8;0.8074696063995361;0;0;1;13888;6558;True;True
3;8;5.278668403625488;0;0;1;80578;48744;True;False
3;8;5.351585626602173;0;0;1;80578;48744;False;True
3;8;5.268310308456421;0;0;1;80578;48744;False;False
3;9;0.7925515174865723;0;0;1;13888;6558;True;True
3;9;5.339828252792358;0;0;1;80578;48744;True;False
3;9;5.446451663970947;0;0;1;80578;48744;False;True
3;9;5.313310623168945;0;0;1;80578;48744;False;False
4;0;0.004244565963745117;1;0;0;28;3;True;True
4;0;0.0045928955078125;1;0;0;28;3;True;False
4;0;0.004449129104614258;1;0;0;28;3;False;True
4;0;0.004683256149291992;1;0;0;28;3;False;False
4;1;0.05175590515136719;0;0;1;492;92;True;True
4;1;0.10041046142578125;0;0;1;950;124;True;False
4;1;0.09970879554748535;0;0;1;950;124;False;True
4;1;0.09618186950683594;0;0;1;950;124;False;False
4;2;0.40801239013671875;0;0;1;5520;921;True;True
4;2;1.5883264541625977;0;0;1;22114;2556;True;False
4;2;1.5964291095733643;0;0;1;22114;2556;False;True
4;2;1.6384568214416504;0;0;1;22114;2556;False;False
4;3;1.3011128902435303;0;0;1;31634;4182;True;True
4;3;9.973958015441895;0;0;1;235378;25992;True;False
4;3;9.505880117416382;0;0;1;235378;25992;False;True
4;3;9.425975561141968;0;0;1;235378;25992;False;False
4;4;1.6352975368499756;0;0;1;53307;8357;True;True
4;4;14.128096342086792;0;0;1;457426;66312;True;False
4;4;15.476080894470215;0;0;1;457426;66312;False;True
4;4;15.112139701843262;0;0;1;457426;66312;False;False
4;5;1.8214619159698486;0;0;1;53307;8357;True;True
4;5;14.588812112808228;0;0;1;457426;66312;True;False
4;5;15.468273639678955;0;0;1;457426;66312;False;True
4;5;13.969639778137207;0;0;1;457426;66312;False;False
4;6;1.660465955734253;0;0;1;53307;8357;True;True
4;6;14.663344383239746;0;0;1;457426;66312;True;False
4;6;13.961788654327393;0;0;1;457426;66312;False;True
4;6;14.186043500900269;0;0;1;457426;66312;False;False
4;7;1.591649055480957;0;0;1;53307;8357;True;True
4;7;14.11134386062622;0;0;1;457426;66312;True;False
4;7;14.054262161254883;0;0;1;457426;66312;False;True
4;7;15.122029066085815;0;0;1;457426;66312;False;False
4;8;1.6519315242767334;0;0;1;53307;8357;True;True
4;8;15.146597146987915;0;0;1;457426;66312;True;False
4;8;15.68367314338684;0;0;1;457426;66312;False;True
4;8;15.447763681411743;0;0;1;457426;66312;False;False
4;9;1.7947218418121338;0;0;1;53307;8357;True;True
4;9;15.606118202209473;0;0;1;457426;66312;True;False
4;9;15.589197397232056;0;0;1;457426;66312;False;True
4;9;15.425190448760986;0;0;1;457426;66312;False;False
5;0;0.011467695236206055;1;0;0;28;3;True;True
5;0;0.008469104766845703;1;0;0;28;3;True;False
5;0;0.008135795593261719;1;0;0;28;3;False;True
5;0;0.009366750717163086;1;0;0;28;3;False;False
5;1;0.06031179428100586;0;0;1;492;92;True;True
5;1;0.15496826171875;0;0;1;950;124;True;False
5;1;0.1174612045288086;0;0;1;950;124;False;True
5;1;0.11688947677612305;0;0;1;950;124;False;False
5;2;0.4268345832824707;0;0;1;5520;921;True;True
5;2;1.7807655334472656;0;0;1;22114;2556;True;False
5;2;1.8148584365844727;0;0;1;22114;2556;False;True
5;2;1.8336753845214844;0;0;1;22114;2556;False;False
5;3;1.382197380065918;0;0;1;31634;4182;True;True
5;3;10.65939211845398;0;0;1;235378;25992;True;False
5;3;10.707911968231201;0;0;1;235378;25992;False;True
5;3;10.60607624053955;0;0;1;235378;25992;False;False
5;4;2.1310410499572754;0;0;1;68746;8357;True;True
5;4;18.30082893371582;0;0;1;619858;66312;True;False
5;4;18.444746017456055;0;0;1;619858;66312;False;True
5;4;18.14641833305359;0;0;1;619858;66312;False;False
5;5;2.0679757595062256;0;0;1;68746;8357;True;True
5;5;18.349745512008667;0;0;1;619858;66312;True;False
5;5;18.722312927246094;0;0;1;619858;66312;False;True
5;5;18.153136491775513;0;0;1;619858;66312;False;False
5;6;2.063720703125;0;0;1;68746;8357;True;True
5;6;18.30389714241028;0;0;1;619858;66312;True;False
5;6;18.28165864944458;0;0;1;619858;66312;False;True
5;6;18.1079363822937;0;0;1;619858;66312;False;False
5;7;2.0462899208068848;0;0;1;68746;8357;True;True
5;7;18.27318286895752;0;0;1;619858;66312;True;False
5;7;18.38786816596985;0;0;1;619858;66312;False;True
5;7;18.13836407661438;0;0;1;619858;66312;False;False
5;8;2.0749714374542236;0;0;1;68746;8357;True;True
5;8;18.321366786956787;0;0;1;619858;66312;True;False
5;8;18.39945387840271;0;0;1;619858;66312;False;True
5;8;18.168736696243286;0;0;1;619858;66312;False;False
5;9;2.036860227584839;0;0;1;68746;8357;True;True
5;9;18.325037479400635;0;0;1;619858;66312;True;False
5;9;18.36401104927063;0;0;1;619858;66312;False;True
5;9;18.16313600540161;0;0;1;619858;66312;False;False
6;0;0.024396896362304688;1;0;0;28;3;True;True
6;0;0.007059812545776367;1;0;0;28;3;True;False
6;0;0.00658416748046875;1;0;0;28;3;False;True
6;0;0.010854959487915039;1;0;0;28;3;False;False
6;1;0.05447673797607422;0;0;1;492;92;True;True
6;1;0.11812758445739746;0;0;1;950;124;True;False
6;1;0.12711620330810547;0;0;1;950;124;False;True
6;1;0.11453652381896973;0;0;1;950;124;False;False
